Generation,Average Fitness,Best Fitness,Worst Fitness
773,389.70,494.10,-797.95
774,374.37,493.45,-455.05
775,354.49,491.50,-846.90
776,351.54,496.10,-586.75
777,363.88,492.80,-854.30
778,377.52,489.50,-801.50
779,370.67,495.75,-826.30
780,365.58,491.60,-591.80
781,391.17,489.70,-665.80
782,391.84,494.90,-760.90
783,360.45,494.45,-848.20
784,361.44,496.35,-816.10
785,385.31,492.95,-244.45
786,363.95,494.90,-809.55
787,380.25,492.10,-532.90
788,369.02,496.70,-616.10
789,370.91,495.50,-769.00
790,378.17,496.40,-841.70
791,359.93,492.60,-860.35
792,378.78,492.60,-589.40
793,367.16,496.50,-845.60
794,367.00,494.00,-828.15
795,380.68,493.45,-513.14
796,370.10,492.70,-819.45
797,376.41,494.60,-493.35
798,350.07,497.40,-820.55
799,339.39,490.00,-817.24
800,364.15,497.95,-586.05
801,369.01,500.80,-754.65
802,350.39,491.05,-846.50
803,361.71,491.80,-502.89
804,385.28,492.30,-819.45
805,389.37,490.50,-578.15
806,382.20,495.30,-558.40
807,366.95,493.00,-828.20
808,357.02,493.85,-535.80
809,366.19,494.00,-564.91
810,356.00,495.40,-827.25
811,360.38,494.30,-730.40
812,377.48,492.35,-789.10
813,384.67,491.10,-481.75
814,384.62,490.10,-274.10
815,361.18,491.60,-555.75
816,374.14,493.80,-809.80
817,382.71,498.60,-546.75
818,368.51,499.10,-824.40
819,359.35,490.60,-835.55
820,354.62,494.15,-673.20
821,329.03,491.70,-786.50
822,376.34,492.15,-311.20
823,365.14,492.90,-850.20
824,399.10,491.40,-243.00
825,371.67,492.80,-835.05
826,372.95,492.90,-823.65
827,368.08,494.70,-588.75
828,387.64,498.30,-464.90
829,388.09,498.20,-864.70
830,357.78,493.90,-593.15
831,355.51,489.80,-776.25
832,362.13,495.70,-617.40
833,355.90,494.20,-584.90
834,375.80,494.30,-891.05
835,371.77,492.10,-550.85
836,371.85,491.30,-846.00
837,376.79,492.70,-456.20
838,338.51,489.70,-844.75
839,364.48,491.70,-498.15
840,367.79,493.10,-476.60
841,379.74,491.30,-578.70
842,382.13,490.20,-598.85
843,352.51,498.00,-903.72
844,362.91,493.60,-513.00
845,387.33,492.60,-588.36
